cleavage_prediction_loss,cleavage_prediction_mae,loss,sp_class_prediction_accuracy,sp_class_prediction_loss,sp_prediction_accuracy,sp_prediction_loss,val_cleavage_prediction_loss,val_cleavage_prediction_mae,val_loss,val_sp_class_prediction_accuracy,val_sp_class_prediction_loss,val_sp_prediction_accuracy,val_sp_prediction_loss,learning_rate
3.6574936075339792e-06,0.0008426111307926476,0.005845879204571247,0.999096691608429,0.004552283324301243,0.9996988773345947,0.0012910908553749323,2.2000101580488263e-06,0.0012765401042997837,0.2825886905193329,0.9821772575378418,0.16033589839935303,0.986994206905365,0.1217699944972992,0.00020000000949949026
4.198138412903063e-06,0.0005173740210011601,0.0033204900100827217,0.9993376135826111,0.002718911971896887,0.9998193383216858,0.000599302991759032,8.28234050231913e-08,0.0002094380761263892,0.2877211570739746,0.9819363951683044,0.16218805313110352,0.9867533445358276,0.12506914138793945,4.0000002627493814e-05
5.292710284265922e-06,0.0005716627347283065,0.0028629584703594446,0.9995182752609253,0.0021463287994265556,0.9998795390129089,0.0007136472268030047,1.6939890201683738e-07,0.0003423670132178813,0.2783525288105011,0.9819363951683044,0.15793244540691376,0.9867533445358276,0.12006021291017532,4.0000002627493814e-05
4.287589945306536e-06,0.0006339593091979623,0.002378105418756604,0.9995182752609253,0.0020839653443545103,0.9999397993087769,0.0002918451791629195,3.898096423426978e-08,8.78823921084404e-05,0.28288137912750244,0.9816955924034119,0.16089732944965363,0.9867533445358276,0.12149685621261597,4.0000002627493814e-05
2.1259099867165787e-06,0.000425417791120708,0.002317561535164714,0.9995182752609253,0.0020539117977023125,0.9999397993087769,0.00026234000688418746,3.7069332847750047e-07,0.0005085212178528309,0.2920050621032715,0.9819363951683044,0.1661272943019867,0.9867533445358276,0.12541048228740692,4.0000002627493814e-05
1.9639235233626096e-06,0.0004462574434000999,0.0021195970475673676,0.9996386766433716,0.0018346956931054592,0.9999397993087769,0.0002836860658135265,5.794269597458879e-08,0.00012949130905326456,0.2966880798339844,0.9816955924034119,0.16853252053260803,0.9867533445358276,0.1277267187833786,4.0000002627493814e-05
3.4489764857426053e-06,0.00033785984851419926,0.001966950949281454,0.9997591376304626,0.0016956273466348648,0.9999397993087769,0.0002693662536330521,4.021713451152209e-08,5.917943053646013e-05,0.2980950176715851,0.9826589822769165,0.169388547539711,0.9877167344093323,0.12823405861854553,8.000000889296643e-06
2.8427011784515344e-06,0.000312492367811501,0.0018307877471670508,0.9996386766433716,0.001542825484648347,0.9999397993087769,0.00028634865884669125,3.9304133281348186e-08,5.5346652516163886e-05,0.30159443616867065,0.9824181199073792,0.17124052345752716,0.9874759316444397,0.129852756857872,8.000000889296643e-06
1.6967715055216104e-06,0.0002869408344849944,0.0016221827827394009,0.9996386766433716,0.0013652682537212968,0.9999397993087769,0.0002558713313192129,6.548721387389378e-08,0.0001651242928346619,0.3056298494338989,0.9826589822769165,0.1738000065088272,0.9874759316444397,0.13135109841823578,8.000000889296643e-06
1.2455817568479688e-06,0.00026062456890940666,0.0015469299396499991,0.9996988773345947,0.0013212411431595683,0.9999397993087769,0.00022508192341774702,7.260393886099337e-08,0.00018161149637307972,0.30880579352378845,0.9824181199073792,0.17555385828018188,0.9874759316444397,0.1327376365661621,8.000000889296643e-06
